,20170607,20170608,20170609,20170612,20170613,20170614,20170615,20170616,20170619,20170620,20170621,20170622,20170623,20170626,20170627,20170628,20170629,20170630,20170703,20170704,20170705,20170706,20170707,20170711,20170712,20170713,20170714,20170718,20170719,20170720,20170721,20170724,20170725,20170726,20170727,20170728,20170731,20170801,20170802,20170803,20170804,20170808,20170810,20170811,20170814,20170815,20170816,20170817,20170818,20170821,20170822,20170823,20170824,20170825,20170829,20170830,20170831,20170901,20170904,20170905,20170906,20170907,20170908,20170911,20170912,20170913,20170914,20170915,20170918,20170919,20170920,20170921,20170922,20170925,20170926,20170927,20170928,20170929,20171002,20171003,20171004,20171005,20171006,20171009,20171010,20171011,20171012,20171013,20171016,20171017,20171018,20171019,20171020,20171023,20171024,20171025,20171026,20171027,20171030,20171031,20171101,20171102,20171103,20171106,20171107,20171108,20171109,20171110,20171113,20171114,20171115,20171116,20171117,20171120,20171121,20171122,20171123,20171124,20171127,20171128,20171129,20171130,20171201,20171204,20171205,20171206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARARGE03H413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH0205819441,1.340315,1.270066,1.3363545,1.3353605,1.3343655,1.333369,1.3981925,1.3972385,1.4644105,1.4635015,1.5310275,1.528435,1.4589375,1.458021,1.457103,1.456184,1.625943,1.625142,1.6243395,1.623536,1.6227315,1.690124,1.689365,1.61788,1.617067,1.614623,1.6138055,1.577091,1.541198,1.538576,1.5376995,1.6427065,1.6419045,1.641102,1.6394925,1.6378785,1.63707,1.601603,1.600767,1.598253,1.597412,1.6313775,1.5566435,1.5557675,1.554891,1.5540125,1.5531335,1.550487,1.5496025,1.54877632319,1.54797050841,1.54700159776,1.5444137141,1.5434451343,1.5428741473,1.54189999564,1.53923689731,1.53834768933,1.53745014839,1.53651028183,1.53562034302,1.53290588966,1.53201666515,1.53100884237,1.53012646246,1.52902745309,1.52623459895,1.52529534604,1.52435391612,1.52338150394,1.52243293542,1.51960665803,1.51899780782,1.51816519137,1.51732499981,1.51641763668,1.5134814973,1.5124402645,1.5114631515,1.51062543804,1.50950784458,1.50684462459,1.44944509704,1.44856996263,1.44770016942,1.44667753729,1.44360938248,1.44267926831,1.44172330857,1.44075767128,1.43988473945,1.43672677165,1.435716265,1.43458912631,1.43355318489,1.43238387228,1.42933331222,1.42940725636,1.42849748036,1.42750304655,1.42641426247,1.42335296431,1.4223150219,1.42123232972,1.42022381631,1.41924694371,1.4161264238,1.41492550107,1.41385525136,1.41281297012,1.41179970334,1.40868154842,1.40751488202,1.40642996016,1.40536146778,1.40426326599,1.40095086614,1.39987404402,1.39875249995,1.39784935233,1.39672936502,1.39341820587,1.39238352225,1.39138146111,1.39029974657,1.389238685
CH0206594498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH0206594506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH0212771601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH0217579736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH0225173316,1.070132,1.030533,1.0170935,1.0035305,0.989843,0.9760295,0.9338125,0.9194745,0.9050015,1.7515965,1.7409015,2.1502405,2.1412545,2.1321825,2.1230225,2.1137735,2.085478,2.075859,2.0661425,2.056329,2.046416,1.5421875,1.5294025,1.503426,1.4902305,1.4497885,1.4360145,1.408011,1.3937765,1.5968995,1.583404,1.569754,1.8182605,2.3309125,2.3116525,2.291943,2.2819145,2.2819145,2.271768,2.2405935,2.229949,2.2082685,2.163262,2.1516515,2.1398925,2.127981,2.1159145,2.07875,2.066029,2.0459925546,2.03563354045,2.02235533034,1.9797274897,1.96431630428,1.94995686668,1.93553120832,1.89092797363,1.87636754767,1.86182833054,1.84603259073,1.82922059456,1.77839639854,1.76254033176,1.74737107005,1.72934630795,1.71030147301,1.65439998874,1.63496255778,1.61578383202,1.59552812217,1.57604190749,1.51312986015,1.49151991137,1.47148575985,1.45043984207,1.42659611656,1.35601106892,1.33103615334,1.30685561576,1.28123535848,1.2560767738,1.17615089764,1.14648456029,1.11699007077,1.08595863464,1.05664638074,0.965328410167,0.932190224984,0.897399654028,0.863237064353,0.828471279928,0.718994600525,0.681300161309,0.642172978254,0.601587954012,0.582043902409,0.409385308102,0.409117623995,0.363641456451,0.316621964709,0.269293405181,0.115805179379,0.0613943792896,0.00586867588154,-0.0382970116706,-0.0972607018239,-0.285078008028,-0.352229998374,-0.421194064355,-0.492480815027,-0.566350277392,-0.802589128014,-0.887680869947,-0.975452310414,-1.06458370153,-1.15784681327,-1.46199234141,-1.57155651307,-1.68531950037,-1.80409769525,-1.92894481661,-2.33900215454,-2.48914676871,-2.6461983847,-2.81119419648,-2.98338461501
CH0226274261,1.3954695,1.390581,1.3889445,1.387304,1.38566,1.3840115,1.48536,1.483818,1.4822715,1.5877725,1.5863415,1.689946,1.6886255,1.687302,1.6859755,1.684646,1.680639,1.679298,1.6779525,1.676605,1.675254,1.5615055,1.5600135,1.55702,1.555518,1.5509915,1.5494755,1.4910935,1.4895015,1.484702,1.4830945,1.4814835,1.479869,1.4224815,1.419099,1.4156995,1.4139935,1.4139935,1.4122835,1.4071295,1.4054035,1.2890805,1.0559395,1.0537695,1.051595,1.049415,1.04723,1.0406405,1.038433,1.03542473028,1.03321892081,1.03102488279,1.02432519338,1.02202439181,1.01959826722,1.01746123785,1.0106194881,1.00837545316,1.00605743356,1.00382257882,1.00150734134,0.994540899499,0.992292737629,0.989894560552,0.987567564634,0.985065732755,0.977889919098,0.975299004905,0.972857688941,0.970451994965,0.967998289152,0.960846004589,0.958483975208,0.956145329391,0.953813132434,0.951513290804,0.944259351361,0.941760132681,0.939395570662,0.936935170823,0.934409398115,0.926952809473,1.1376571558,1.13542857407,1.13321558168,1.13105835931,1.12425853744,1.12204748441,1.11977630698,1.11748066227,1.11528311317,1.10841001845,1.10623571396,1.10392638388,1.10151313974,1.09898858706,1.09160776613,1.09167082563,1.0894106697,1.08692838806,1.08449140169,1.07719714457,1.0747382038,1.0722557736,1.0697679597,1.06733882205,1.06017381112,1.05785575461,1.05541632518,1.05306448448,1.05052942581,1.04319375154,1.04057246626,1.038422705,1.03585536131,1.03348671454,1.02577910669,1.02322304906,1.020683189,1.01813572315,1.01548694791,1.00766746911,1.00483630872,1.00220329221,0.99966409545,0.99701128197
CH0226747746,0.932053,0.9151175,0.909409,0.9036685,0.8978955,0.8920895,0.8744725,0.8685325,0.9957615,1.124041,1.1187615,1.3746395,1.370022,1.365377,1.360705,1.356006,1.3417415,1.33693,1.3320905,1.3272215,1.3223235,1.3074525,1.3024345,1.292308,1.2871975,1.271677,1.266439,1.2558645,1.2505275,1.234312,1.228838,1.223329,1.2177835,1.2122035,1.200934,1.189516,1.183751,1.183751,1.1779475,1.160306,1.1543465,1.1423075,1.117734,1.1114845,1.1051925,1.0988565,1.0924765,1.073067,1.0665055,1.06132252911,1.05483536651,1.04812380378,1.0277166022,1.02092127571,1.01371511244,1.0067155236,0.985270329986,0.978080607659,0.970671294756,0.963362575765,0.955912683995,0.933330215296,0.925845826577,0.91803202573,0.909676186265,0.901831839676,0.878090835777,0.870029665603,0.861909138883,0.853601370959,0.845334582485,0.820304984861,0.811719659376,0.803346074165,0.794647570685,0.786227137074,0.7598362463,0.750471160776,0.741374669128,0.732654841894,0.72352816703,0.695219608924,0.685509089895,0.675777258819,0.666126607648,0.656445856433,0.626490864137,0.616203554671,0.605851656367,0.595431639431,0.585023408557,0.55313280951,0.542054921474,0.531113492423,0.52006900003,0.508864140069,0.474827679751,0.474783449427,0.463632533839,0.451846768288,0.439966685926,0.403556441373,0.391415536608,0.378982814941,0.366499053548,0.353797177301,0.31506984617,0.301714150799,0.288083839133,0.274673468619,0.261245622743,0.219499008245,0.205453333583,0.190471903694,0.175813991124,0.161180487971,0.116253534697,0.100687407146,0.085144754022,0.0693825842361,0.0535382640832,0.00492996674355,-0.0119046983962,-0.0286397872789,-0.0455343459875,-0.0627823230751
CH0228207574,-0.1069755,-0.1122415,-0.1140045,-0.1157715,-0.1175425,-0.1193175,-0.124666,-0.126457,-0.128252,-0.130051,-0.131854,-0.1372875,-0.139107,-0.140931,-0.1427585,-0.1445905,-0.150111,-0.1519595,-0.153813,-0.15567,-0.157531,-0.163141,-0.16502,-0.16879,-0.1706825,-0.176383,-0.1782925,-0.182125,-0.1840475,-0.189843,-0.1917835,-0.1937285,-0.195679,-0.1976335,-0.2015565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH0229318099,2.632202,2.6217765,2.618283,2.6147805,2.611268,2.607747,2.5971255,2.5935665,2.655538,2.6520465,2.648546,2.7714255,2.768067,2.7646985,2.761322,2.757936,2.747723,2.7443,2.7408675,2.737426,2.7339745,2.723564,2.856778,2.8501485,2.8468205,2.8367805,2.833415,2.550323,2.5465415,2.535132,2.531308,2.527472,2.5236255,2.5197675,2.512019,2.504226,2.500312,2.7817845,2.7782635,2.7676395,2.764078,2.7569235,2.886302,2.882878,2.879444,2.8759995,2.8725455,2.8621215,2.8586265,2.85566209433,2.85232682118,2.84882601896,2.83873062496,2.83538515434,2.83184073212,2.82836394999,2.81758616698,2.8138016174,2.81025788421,2.8071643496,2.80362053231,2.79282344593,2.78883637661,2.78507154491,2.78116764842,2.77668257676,2.76487115687,2.76067708443,2.75680599058,2.75278317448,2.74890223579,2.73734609324,2.7332719519,2.72991682652,2.72718206081,2.72366292331,2.71181546256,2.70729914904,2.70326438032,2.69924948267,2.69572115378,2.68327452775,2.6793346948,2.67501592444,2.6702543001,2.66631060505,2.65384010061,2.6495592091,2.64508256689,2.64057770925,2.63669443644,2.62395301274,2.61954966792,2.61491356072,2.61084864444,2.60680902428,2.59335906807,2.5931177966,2.58877495097,2.58402982216,2.57980808967,2.56639037537,2.56267344901,2.56150056114,2.55788736192,2.55349309489,2.53941419067,2.53467297998,2.53004922434,2.52549116998,2.52095953527,2.5070700018,2.50154250524,2.49663333567,2.49222555335,2.48753164712,2.47365136597,2.46872342674,2.46382847983,2.4589138202,2.45361649379,2.4391230086,2.43439570529,2.42911188655,2.423956348,2.41914153775
